handle,amazon_title,asin,review_count,verdict,reason
1999-2006-chevy-silverado-tahoe-suburban-front-grille-black,"Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 99-02 Chevy Silverado 1500 2500/00-06 Tahoe Suburban",B077MG32CJ,2,KEEP,Part type matches (vertical front grille insert). Handle year 1999-2006 aligns with 00-06 Tahoe/Suburban coverage in ASIN title. Reviews describe grille install with no conflicting product language.
2000-2007-toyota-tundra-sequoia-advanced-bull-guard-matte-black,"Curved Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces v2 Compatible with 02-06 Toyota Camry",B07MDF528K,2,DROP,CONFIRMED WRONG PRODUCT. Handle = Tundra/Sequoia bull guard. ASIN = Camry window visor (vent shade). Different vehicle (Tundra vs Camry) + different part type (bull guard vs visor). Reviews explicitly name 'vent shades' and reference Camry 02-05. Zero overlap in vehicle or part type.
1994-2002-dodge-ram-1500-2500-3500-vertical-front-grille-matte-black,"Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 94-01 Dodge Ram 1500/94-02 2500 3500",B077MNWQXP,4,KEEP,Part type matches (vertical front grille). Handle year 94-02 consistent with ASIN 94-02 for 2500/3500; ASIN ends 94-01 for 1500 vs handle 94-02 — 1-year edge on 1500 only. Same DR-gen Ram across the range. Reviews confirm grille install on Ram truck.
universal-2-receiver-hitch-step-matte-black-hs207-31bk,"Stehlen 733469495321 Universal Matte Black Hoop Style Trailer Tow Mount Rear Hitch Drop Step Bar Bumper Guard for 2"" X 2"" Towing Receiver Tube",B07TSB2KCW,2,KEEP,Handle = universal 2-inch receiver hitch step. ASIN = universal 2x2 hitch step bar. Exact part type and fitment scope match. Stehlen part number in ASIN title confirms same SKU lineage.
2007-2019-bmw-x5-x6-class-3-trailer-hitch-black-13077,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible with 07-18 BMW X5 E70 F15 / 14-19 X6 F86",B01IS10K0M,5,KEEP,Part type matches (Class 3 / 2-inch receiver hitch). Vehicle matches (BMW X5 X6). Handle says 2007-2019; ASIN covers 07-18 X5 and 14-19 X6 — handle year range correctly spans both. Reviews confirm X5 install on 2010 and 2016 X5 F15.
1999-2004-ford-super-duty-excursion-front-grille-black,"Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 99-04 Ford F250 F350 F450 F550 Superduty / 00-04 Excursion",B07HBCWZL2,2,KEEP,Part type matches (vertical front grille). Vehicle and year range match exactly. Reviews confirm grille install on truck.
1994-2002-dodge-ram-1500-2500-3500-horizontal-front-grille-matte-black,"Glossy Black Horizontal Front Hood Bumper Grill Grille Guard ABS Compatible With 94-01 Dodge Ram 1500/94-02 2500 3500",B01MU350Q0,1,KEEP,Part type matches (horizontal front grille). Vehicle matches. Same 1-year edge on 1500 as the vertical variant — not a different product. Review confirms grille install on Ram truck.
2006-2016-chevy-impala-front-lower-bumper-grille-matte-black,"Chrome Mesh Front Upper Hood Grill + Lower Bumper Grille Guard ABS Compatible With 06-13 Chevy Impala / 14-16 Limited",B07L8T474C,6,NEEDS_REMAP,FINISH MISMATCH: Handle slug says matte-black; ASIN is a Chrome product (both upper + lower grille combo). Reviews confirm chrome install. Additionally two of six reviews (R340UVO54GORM9 and R3K9ETFS5NF7EU) have image paths prefixed with B01FTGE16I_ — a different ASIN — confirming Ren BUG-14BD-002 cross-ASIN photo contamination. Those two reviews must be removed regardless of remap decision.
2010-2014-vw-golf-mk6-jetta-front-lower-bumper-grille-black,"Glossy Black Honeycomb Mesh Front Lower Bumper Grill Grille Guard ABS Compatible With 10-13 VW Golf / 10-14 Jetta Sport Wagen MK6",B01FTGDDUI,2,KEEP,Part type matches (lower bumper grille). Vehicle and year range match. Reviews confirm VW fitment.
1998-2003-lincoln-navigator-blackwood-chrome-vertical-front-grille,"Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 98-02 Lincoln Navigator / 2002 Blackwood",B01G6AHKA0,2,KEEP,Part type matches (chrome vertical front grille). ASIN covers to 2002; handle extends to 2003. 1-year handle overshoot on Navigator; Blackwood was a 2002-only model so no 2003 Blackwood exists. Minor year discrepancy — not a different part. Review confirms 2000 Navigator install.
2015-2023-ford-f-150-f-250-f-350-underseat-storage-organizer-box,"Stehlen 733469494522 Compatible With 2015-2022 Ford F150 / 2017-2022 F250 F350 F450 F550 Superduty SuperCrew (Crew) Cab Gearbox Underseat Storage Cargo Organizer Box - Textured Black",B07PH2HQYQ,1,KEEP,Part type matches (underseat storage organizer). Stehlen part number in ASIN confirms SKU. Handle extends to 2023 vs ASIN 2022 — the 14th-gen F-150 (2021+) has different cab floor geometry so the 2023 fitment claim in the handle should be verified against ACES data before publishing. Review confirms F150 underseat storage install.
