jl_sku,asin,title,resolved_handle,method,confidence,verified_reviews,inferred_reviews,photos,jl_sku_resolution,audit_verdict,proposed_handle,proposal_confidence,reasoning
crjz-tr-4000fs-ar-mb+crjz-tire-fs-mb,B08P2RZRR5,Stehlen 642167818793 Universal Fit for Full Size Pickup Trucks CR1 Chase Rack Truck Bed Ro,,UNRESOLVED — needs match,,9,0,17,combo_direct,,,not-on-site,crjz=chase rack; no chase rack / bed rack handle exists in catalog
fg-ram06-me-mb,B07XSFBVTF,Matte Black Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 06-08 Dodge Ram,2006-2009-dodge-ram-1500-2500-3500-mesh-front-grille-matte-black,image-stem (confident),high,1,7,1,single_direct,PASS,,,jl_sku=ram06 matte black mesh; handle=06-09 Ram matte black mesh; make/model/finish/years all match
fggg-grzt-impa06-me-bk,B084SNMBLC,Glossy Black Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With,07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black,image-stem (confident),high,3,5,5,single_direct,PULL,,,"impa06=Chevy Impala 2006; handle=Tahoe/Suburban/Avalanche 07-14. Wrong vehicle entirely — Impala is a sedan, Tahoe is a full-size SUV. Image filename collision between products. Remove from live."
hlpk2-c1088hled-bb+blyd-c1088-jdm+clyd-cpu94-jdm,B00R16TZL6,Black Clear Housing Projector Headlights With Halo LED k2 + Bumper Signal Lights yd + Corn,,UNRESOLVED — needs match,,6,0,13,combo_alias,,,medium,92-99-chevy-gmc-suburban-tahoe-yukon-halo-led-projector-headlights; combo includes c1088 (88-98 C10/K1500) halo LED headlights — stem hlpk2-c1088hled maps to that handle but combo includes bumper signal lights (blyd) and corner lights (clyd) not individually cataloged
th-x507-c077,B01IS10K0M,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2007-2019-bmw-x5-x6-class-3-trailer-hitch-black-13077,image-stem (confident),high,5,0,11,single_direct,PASS,,,jl_sku=x507 class 3 hitch c077; handle=BMW X5/X6 2007-19 class 3 hitch MPN-13077; make/model/class/years all match
fg-sil99-me-bk,B07LC2GCK7,Glossy Black Mesh Front Hood Bumper Grill Grille Guard Conversion Compatible With 99-02 Ch,,UNRESOLVED — needs match,,5,0,7,single_direct,,99-06-chevy-silverado-tahoe-suburban-black-horizontal-grille,medium,fg-sil99-me-bk=Silverado 1999 mesh glossy black; title says 99-02 Chevy. Handle covers 99-06 Silverado/Tahoe/Suburban horizontal black — same product family but title says mesh conversion not horizontal; verify style matches before promoting to high
fg-ram14oe-me-mb,B07YGNWMYJ,Matte Black OE Honeycomb Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 13-,,UNRESOLVED — needs match,,2,3,2,single_direct,,2013-2024-ram-1500-oem-mesh-style-front-grille-black,medium,fg-ram14oe-me-mb=Ram 1500 2014 OE mesh matte black; only matte black OE handle in catalog is labeled -black not -matte-black; product is likely the same but finish label discrepancy warrants owner confirmation
fggg-grzv-ram94-vt-bk,B077MNWQXP,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 94-01 Dodge,1994-2002-dodge-ram-1500-2500-3500-front-grille-black,image-stem (confident),high,4,0,5,single_direct,PASS,,,jl_sku=ram94 vertical glossy black; handle=94-02 Dodge Ram black; make/model/finish/years all match
fggg-grzt-impa06-me-ch+fggg-grbt-impa06lo-me-ch,B07L8T474C,Chrome Mesh Front Upper Hood Grill + Lower Bumper Grille Guard ABS Compatible With 06-13 C,2006-2016-chevy-impala-monte-carlo-front-grille-chrome,image-stem (confident),high,4,0,8,combo_alias,PASS,,,combo=Impala 2006 chrome upper+lower; handle=06-16 Impala/Monte Carlo chrome; title says 06-13 but handle runs 06-16 (Monte Carlo trim overlap). Vehicle and finish match; year extension is accurate for Monte Carlo
sbhd-f15004sc-5-mb,B07SRF5SSL,"Stehlen 733469496953 Compatible with 2004-2008 Ford F150 Super (Extended) Cab 5"" Oval Side",,UNRESOLVED — needs match,,0,4,0,single_direct,,04-08-ford-f-150-super-cab-5-oval-side-step-bars-black,medium,sbhd-f15004sc-5-mb=F150 2004 Super Cab 5-inch oval matte black; closest handle is the glossy black 5-oval super cab variant (-bk not -mb); no dedicated matte black 5-inch super cab F150 04-08 handle exists — black handle is the best available match but finish differs
sbds-fj07-v2-mb+sbds-fj07-v2-br,B07V5KK9Z9,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 07-14 Toy,,UNRESOLVED — needs match,,0,4,0,combo_direct,,,not-on-site,fj07=FJ Cruiser 2007; no FJ Cruiser running board handle in catalog; nearest Toyota running board handles are Tacoma and Tundra — wrong vehicle
fg-300c05-me-bk,B0855QS2QF,Stehlen 642167819509 Compatible With 2004 2005-2010 Chrysler 300 / 300C Mesh Front Hood Bu,2005-2010-chrysler-300-front-grille-matte-black-replacement,image-stem (confident),high,0,4,0,single_direct,PASS,,,jl_sku=300c05 mesh matte black; handle=Chrysler 300 05-10 matte black; make/model/finish/years match
