jl_sku,asin,title,resolved_handle,method,confidence,verified_reviews,inferred_reviews,photos,jl_sku_resolution
crjz-tr-4000fs-ar-mb+crjz-tire-fs-mb,B08P2RZRR5,Stehlen 642167818793 Universal Fit for Full Size Pickup Trucks CR1 Chase Rack Truck Bed Ro,,UNRESOLVED — needs match,,9,0,17,combo_direct
fg-ram06-me-mb,B07XSFBVTF,Matte Black Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 06-08 Dodge Ram ,2006-2009-dodge-ram-1500-2500-3500-mesh-front-grille-matte-black,image-stem (confident),high,1,7,1,single_direct
fggg-grzt-taho07-me-bk,B084SNMBLC,Glossy Black Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With ,07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black,image-stem (confident),high,3,5,5,single_direct
hlpk2-c1088hled-bb+blyd-c1088-jdm+clyd-cpu94-jdm,B00R16TZL6,Black Clear Housing Projector Headlights With Halo LED k2 + Bumper Signal Lights yd + Corn,,UNRESOLVED — needs match,,6,0,13,combo_alias
th-x507-c077,B01IS10K0M,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible w",2007-2019-bmw-x5-x6-class-3-trailer-hitch-black-13077,image-stem (confident),high,5,0,11,single_direct
fg-sil99-me-bk,B07LC2GCK7,Glossy Black Mesh Front Hood Bumper Grill Grille Guard Conversion Compatible With 99-02 Ch,,UNRESOLVED — needs match,,5,0,7,single_direct
fg-ram14oe-me-mb,B07YGNWMYJ,Matte Black OE Honeycomb Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 13-,,UNRESOLVED — needs match,,2,3,2,single_direct
fggg-grzv-ram94-vt-bk,B077MNWQXP,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 94-01 Dodge,1994-2002-dodge-ram-1500-2500-3500-front-grille-black,image-stem (confident),high,4,0,5,single_direct
fggg-grzt-impa06-me-ch+fggg-grbt-impa06lo-me-ch,B07L8T474C,Chrome Mesh Front Upper Hood Grill + Lower Bumper Grille Guard ABS Compatible With 06-13 C,2006-2016-chevy-impala-monte-carlo-front-grille-chrome,image-stem (confident),high,4,0,8,combo_alias
sbhd-f15004sc-5-mb,B07SRF5SSL,"Stehlen 733469496953 Compatible with 2004-2008 Ford F150 Super (Extended) Cab 5"" Oval Side",,UNRESOLVED — needs match,,0,4,0,single_direct
sbds-fj07-v2-mb+sbds-fj07-v2-br,B07V5KK9Z9,Matte Black Hoop Drop Step Side Nerf Bars Rail Running Boards v2 Compatible with 07-14 Toy,,UNRESOLVED — needs match,,0,4,0,combo_direct
fg-300c05-me-bk,B0855QS2QF,Stehlen 642167819509 Compatible With 2004 2005-2010 Chrysler 300 / 300C Mesh Front Hood Bu,2005-2010-chrysler-300-front-grille-matte-black-replacement,image-stem (confident),high,0,4,0,single_direct
fg-grzd-dnl07-bk,B086C4KQML,Stehlen 642167821243 Compatible With 2007-2014 GMC Yukon/XL/Denali Round Hole Mesh Front H,2007-2014-gmc-yukon-yukon-xl-front-grille-matte-black,image-stem (confident),high,0,4,0,single_direct
bghd-sil991500-av-mb,B078P878D8,Matte Black AVT Style Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Plate ,99-07-silverado-sierra-1500-advanced-bull-guard-w-skid-plate-matte-black,image-stem (confident),high,3,0,5,single_direct
fggg-grzt-impa00-me-ch,B07HB9NL2V,Chrome Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 00-05 Chevy Impala,2000-2005-chevy-impala-front-grille-chrome-finish,image-stem (confident),high,0,3,0,single_direct
fg-grzd-dnl07-ch+fg-grbd-dnl07lower-ch,B07L8V2222,Chrome Round Hole Mesh Front Upper Hood Grill + Lower Bumper Grille Guard ABS Compatible W,2007-2014-gmc-yukon-yukon-xl-front-grille-chrome-1,image-stem (confident),high,0,3,0,combo_alias
fggg-grzv-f25099-vt-ch,B07LC18YJF,Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 99-04 Ford F250 F,1999-2004-ford-super-duty-excursion-front-grille-chrome,image-stem (confident),high,0,3,0,single_direct
rbjz-br-sil07-6p+rbjz-86-6-oe-mb,B07PZFTRX9,"6"" OE Style with Polymer Stripes Matte Black Aluminum Side Step Rail Running Boards jz Com",2019-2024-ram-1500-86-oe-style-aluminum-running-boards-matte-black,image-stem (confident),high,0,3,0,combo_direct
hlplnb-tun14fled-ab,B07VLPXWBH,Sequential Black Housing Full LED Quad Projector Headlights Signal Lamps Amber Reflector n,2014-2021-toyota-tundra-full-led-projector-headlights-black-amber,image-stem (confident),high,3,0,8,single_direct
fg-tit04-me-mb,B07YH539CJ,Matte Black Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 04-07 Titan / 05,2004-2007-nissan-titan-armada-front-grille-matte-black,image-stem (confident),high,0,3,0,single_direct
s223043,B0832K18QL,"4"" Oval Bent End Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford ",,UNRESOLVED — needs match,,3,0,6,single_direct
fg-300c05-me-bk,B0863KSYV3,Glossy Black Mesh Front Hood Bumper Grill Grille Guard ABS Compatible With 04 05-10 Chrysl,2005-2010-chrysler-300-front-grille-matte-black-replacement,image-stem (confident),high,0,3,0,single_direct
tc-f15015-5.5-lth,B087LLVHLM,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 15-26 Ford F150,2015-2026-ford-f-150-5-5ft-bed-hard-tri-fold-tonneau-cover-w-led,image-stem (confident),high,3,0,4,single_direct
tc-sil99-6.5-lth,B087LYSTZQ,Low Profile Hard Tri Fold Aluminum Truck Bed Tonneau Cover Compatible with 99-06 Chevy Sil,,UNRESOLVED — needs match,,0,3,0,single_direct
fg-golf08lo-me-bk,B01FTGDDUI,Glossy Black Honeycomb Mesh Front Lower Bumper Grill Grille Guard ABS Compatible With 10-1,2010-2014-vw-golf-mk6-jetta-front-lower-bumper-grille-black,image-stem (confident),high,2,0,2,single_direct
fggg-grbt-impa06lo-me-bk,B01FTGE16I,Glossy Black Mesh Front Lower Bumper Grill Grille Guard ABS Compatible With 06-13 Chevy Im,2006-2016-chevy-impala-front-lower-bumper-grille-matte-black,image-stem (confident),high,2,0,3,single_direct
fg-nav98-vt-ch,B01G6AHKA0,Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 98-02 Lincoln Nav,1998-2003-lincoln-navigator-blackwood-chrome-vertical-front-grille,image-stem (confident),high,2,0,3,single_direct
fg-dts06-vt-ch,B077JLPPJX,Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 06-11 Cadillac DT,2006-2011-cadillac-dts-chrome-vertical-front-grille-custom,image-stem (confident),high,2,0,3,single_direct
fggg-grzv-sil99-vt-bk,B077MG32CJ,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 99-02 Chevy,1999-2006-chevy-silverado-tahoe-suburban-front-grille-black,image-stem (confident),high,2,0,2,single_direct
tc-ram09-5.8-lru,B07D6XZ6KF,Stehlen 714937188860 Compatible with 2009-2018 Dodge Ram 1500/2019-2024 Classic 5.7 Feet (,09-18-ram-1500-5-8ft-flush-roll-up-vinyl-tonneau-cover-133353,image-stem (confident),high,2,0,7,single_direct
fggg-grzv-f25099-vt-bk,B07HBCWZL2,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 99-04 Ford ,1999-2004-ford-super-duty-excursion-front-grille-black,image-stem (confident),high,2,0,2,single_direct
th-rod98-c222,B07KCSKDNR,Stehlen 733469488828 Compatible with 1998-2003 Isuzu Rodeo / 2004 Rodeo / 1998-2002 Honda ,,UNRESOLVED — needs match,,0,2,0,single_direct
bghd-tit04-av-mb,B07L7XSMVT,Stehlen 714937183995 Compatible With 2004-2015 Titan/Armada Advance Series Bull Bar - Matt,2004-2015-nissan-titan-armada-bull-guard-w-skid-plate-matte-black,image-stem (confident),high,0,2,0,single_direct
bghd-ram091500-al-mb,B07L7ZLCBV,Stehlen 733469493044 Compatible with 2009-2018 Dodge Ram 1500/2019-2024 Classic Advance Se,09-22-ram-1500-advanced-series-bull-guard-w-led-light-bar-matte-black,image-stem (confident),high,2,0,4,single_direct
fggg-gr-jet99-h-bk,B07LC19X7P,Glossy Black Horizontal Front Hood Bumper Grill Grille Guard ABS Compatible With 99-05 VW ,1999-2005-volkswagen-jetta-mk4-horizontal-front-grille-black,image-stem (confident),high,2,0,2,single_direct
vs-camy02v2,B07MDF528K,Curved Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces v2 Compatible with 02,,UNRESOLVED — needs match,,2,0,3,single_direct
