action_needed,jl_sku,amazon_asin,amazon_listing_title,verified_reviews_waiting,customer_photos_waiting,current_wrong_shopify_handle,my_proposed_shopify_handle,my_confidence,my_reasoning,CORRECT_SHOPIFY_HANDLE_OR_URL__PLEASE_FILL,team_notes
1. FIX WRONG MAP (we mapped to the wrong product),fg-grzd-dnl07-bk+fg-grbd-dnl07lower-bk,B07L8V34FL,Glossy Black Round Hole Mesh Front Upper Hood Grill + Lower Bumper Grille Guard ABS Compat,0,0,2007-2014-gmc-yukon-yukon-xl-front-grille-matte-black,,,combo=Yukon/Denali 2007 upper+lower glossy black; handle=07-14 GMC Yukon matte black. Title explicitly says Glossy Black and this is a combo listing (upper+lower grille together); handle is for the upper grille only in matte black — both finish and completeness are wrong. Remove from live.,,
1. FIX WRONG MAP (we mapped to the wrong product),fggg-grzt-impa06-me-bk,B084SNMBLC,Glossy Black Mesh Front Hood Bumper Grill Grille Guard ABS 1 Piece Design Compatible With,3,5,07-14-chevy-tahoe-suburban-avalanche-front-grille-matte-black,,,"impa06=Chevy Impala 2006; handle=Tahoe/Suburban/Avalanche 07-14. Wrong vehicle entirely — Impala is a sedan, Tahoe is a full-size SUV. Image filename collision between products. Remove from live.",,
1. FIX WRONG MAP (we mapped to the wrong product),rbjz-br-sil07-6p+rbjz-86-6-oe-mb,B07PZFTRX9,"6"" OE Style with Polymer Stripes Matte Black Aluminum Side Step Rail Running Boards jz Com",0,0,2019-2024-ram-1500-86-oe-style-aluminum-running-boards-matte-black,,,sil07=Silverado 2007; handle=Ram 1500 2019-24. Wrong vehicle entirely — Silverado and Ram are different makes. Image filename from the rbjz-86-6-oe-mb universal component matched Ram handle. Remove from live.,,
1. FIX WRONG MAP (we mapped to the wrong product),sbhd-f15015cc-5-bk,B07JR9DQS5,"5"" Oval Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford F150 Supe",1,1,2017-2022-ford-super-duty-crew-cab-5-steel-side-step-bars-black,,,sbhd-f15015cc-5-bk=F-150 2015 Crew Cab 5-inch oval black; handle=Super Duty 2017-22 crew cab 5-inch steel step bars. F-150 and Super Duty (F-250/F-350) are different trucks with different rocker geometry — same stem matched because sbhd-f15015cc is used in both product lines. Remove from live; correct handle should be 2015-2018-ford-f-150-f-250-super-crew-modular-step-bars-matte-black or a dedicated F-150 2015 5-inch oval handle (not found in catalog).,,
1. FIX WRONG MAP (we mapped to the wrong product),tbm-f15001-5-rb-gy,B07N9RCKXH,Topline_autopart Black Rubber Diamond Plate Truck Bed Floor Mat Liner Compatible with 01-0,1,3,2001-2003-ford-f-150-styleside-5-5-bed-pvc-truck-bed-mat-black,,,"tbm=truck bed mat, f15001=F150 2001, 5=5.5ft, rb=rubber, gy=grey. Amazon title says Black Rubber; handle=black PVC bed mat. Two issues: (1) gy in jl_sku means grey but title and handle both say black — possible color mismatch; (2) handle material is PVC, SKU and title say rubber. Material/color discrepancy on a bed mat is a return trigger. Pull and verify product identity before re-linking.",,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-4run03-al-mb,B07MTTM348,Matte Black AVT Style Aluminum LED Light Bull Bar Brush Push Front Bumper Grill Grille Gua,1,1,,2003-2009-toyota-4runner-lexus-gx470-bull-guard-matte-black,high,bghd-4run03-al-mb=4Runner 2003 AL-series matte black bull bar; handle=03-09 Toyota 4Runner/Lexus GX470 bull guard matte black; make/model/years/finish all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-4run10-al-mb,B07P32H1B7,Stehlen 733469493495 Compatible with 2010-2024 Toyota 4Runner Advance Series Aluminum LED,1,1,,2010-2024-toyota-4runner-bull-guard-w-led-light-bar-matte-black,high,bghd-4run10-al-mb=4Runner 2010 AL-series matte black bull bar with LED; handle=10-24 Toyota 4Runner bull guard with LED bar matte black; make/model/years/finish/style all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-ava021500-al-mb,B07P3257NK,Stehlen 733469493518 Compatible with 1999-2007 Chevy Silverado GMC Sierra / 2002-2006 Aval,0,0,,99-07-silverado-sierra-1500-advanced-bull-guard-w-skid-plate-matte-black,high,bghd-ava021500-al-mb=Avalanche/Silverado 1500 2002 AL-series matte black; handle=99-07 Silverado/Sierra 1500 advanced bull guard with skid plate matte black; title confirms 99-07 Silverado/Sierra + 02-06 Avalanche; make/model/years/finish all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-colo15-av,B07NYWLPJV,Stehlen 733469493686 Compatible with 2015-2022 Chevy Colorado/GMC Canyon Advance Series Bu,0,0,,2015-2022-chevy-colorado-gmc-canyon-advanced-bull-guard-led-bar,high,bghd-colo15-av=Colorado 2015 AVT-series bull bar; handle=15-22 Colorado/Canyon advanced bull guard with LED bar; make/model/years/style all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-colo15-av-mb,B07P1WS2Y5,Stehlen 733469493686 Compatible with 2015-2022 Chevy Colorado/GMC Canyon Advance Series Bu,2,4,,2015-2022-chevy-colorado-gmc-canyon-advanced-bull-guard-led-bar,high,bghd-colo15-av-mb=Colorado 2015 AVT matte black; same handle as B07NYWLPJV above; make/model/years/finish all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-dur11-am-mb,B077JJDY3Y,Stehlen 714937182844 Compatible with 2011-2013 Dodge Durango / 2011-2015 Jeep Grand Cherok,1,1,,2011-2016-durango-grand-cherokee-advanced-bull-guard-matte-black,high,bghd-dur11-am-mb=Durango 2011 AM-series matte black bull bar; handle=11-16 Durango/Grand Cherokee advanced bull guard matte black; title confirms Durango 11-13 + Grand Cherokee 11-15; make/model/years/finish all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-f25099-al,B07P14QV8K,Stehlen 733469493808 Compatible with 1999-2004 Ford F250 F350 F450 F550 Superduty / 2000-2,0,0,,1999-2004-ford-super-duty-advanced-series-bull-guard-matte-black,high,bghd-f25099-al=F250 Super Duty 1999 AL-series matte black bull bar; handle=99-04 Ford Super Duty advanced series matte black; make/model/years/style all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-ram091500-al-mb,B07L7ZLCBV,Stehlen 733469493044 Compatible with 2009-2018 Dodge Ram 1500/2019-2024 Classic Advance Se,2,4,,09-22-ram-1500-advanced-series-bull-guard-w-led-light-bar-matte-black,high,bghd-ram091500-al-mb=Ram 1500 2009 AL-series matte black bull bar; handle=09-22 Ram 1500 advanced series bull guard with LED bar matte black; title confirms 09-18+2019-24 Classic; make/model/years/finish all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-ram102500-av-tb,B07L7XJ67Q,Stehlen 733469492832 Compatible with 2010-2018 Dodge Ram 2500/3500 Advance Series Bull Bar,1,1,,10-18-ram-2500-3500-advanced-bull-guard-w-led-light-bar-matte-black,high,bghd-ram102500-av-tb=Ram 2500 2010 AVT texture black bull bar; handle=10-18 Ram 2500/3500 advanced bull guard with LED bar matte black; note jl_sku suffix -tb=texture black vs handle says matte black — functionally the same finish label variant; make/model/years/style all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-sil991500-av-mb,B078P878D8,Matte Black AVT Style Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Plate,3,5,,99-07-silverado-sierra-1500-advanced-bull-guard-w-skid-plate-matte-black,high,bghd-sil991500-av-mb=Silverado 1500 1999 AVT-style matte black bull bar; handle=99-07 Silverado/Sierra 1500 advanced bull guard with skid plate matte black; make/model/years/finish/style all match,,
2. CONFIRM PROPOSAL — HIGH CONFIDENCE,bghd-tit04-av-mb,B07L7XSMVT,Stehlen 714937183995 Compatible With 2004-2015 Titan/Armada Advance Series Bull Bar - Matt,0,0,,2004-2015-nissan-titan-armada-bull-guard-w-skid-plate-matte-black,high,bghd-tit04-av-mb=Titan/Armada 2004 AVT-style matte black bull bar; handle=04-15 Nissan Titan/Armada bull guard with skid plate matte black; make/model/years/finish all match,,
