asin,mpn,amazon_title,top_match_handle,top_match_sku,top_match_title,score,confidence,runner_up_handle,runner_up_title,runner_up_score
B077MG32CJ,fggg-grzv-sil99-vt-bk-602,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 99-02 Chevy Silverado 1500 2500/00-06 Tahoe Suburban,1999-2006-chevy-silverado-tahoe-suburban-front-grille-black,ITEM-000926,1999-2006 Chevrolet Silverado Tahoe Suburban Front Grille - Black,0.650,high,99-06-chevy-silverado-tahoe-suburban-black-horizontal-grille,1999-2006 Chevrolet Silverado Tahoe Suburban Front Grille Black,0.650
B07MDF528K,vs-camy02v2-601,Curved Style Smoke Window Visors Deflector Vent Shade Guard 4 Pieces v2 Compatible with 02-06 Toyota Camry,2000-2007-toyota-tundra-sequoia-advanced-bull-guard-matte-black,ITEM-024979,2000-2007 Toyota Tundra Sequoia Advanced Bull Guard - Matte Black,0.550,high,chevy-silverado-gmc-sierra-bull-guard-skid-plate-matte-black,99-07 Silverado Sierra Advanced Bull Guard w/ Skid Plate - Matte Black,0.523
B077MNWQXP,fggg-grzv-ram94-vt-bk-601,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 94-01 Dodge Ram 1500/94-02 2500 3500,1994-2002-dodge-ram-1500-2500-3500-vertical-front-grille-matte-black,ITEM-021793,1994-2002 Dodge Ram 1500 2500 3500 Vertical Front Grille Matte Black,0.737,high,1994-2002-dodge-ram-1500-2500-3500-front-grille-black,1994-2002 Dodge Ram 1500 2500 3500 Front Grille - Black,0.722
B07TSB2KCW,733469495321,"Stehlen 733469495321 Universal Matte Black Hoop Style Trailer Tow Mount Rear Hitch Drop Step Bar Bumper Guard for 2"" X 2"" Towing Receiver Tube",universal-2-receiver-hitch-step-matte-black-hs207-31bk,ITEM-026432,"Universal 2"" Receiver Dropping Style Rear Hitch Step - Matte Black",0.450,high,universal-2-tube-3-steel-rear-hitch-step-black,"Universal 2"" Hitch Receiver 3"" Steel Rear Hitch Step - Black",0.400
B01IS10K0M,th-x507-c077-601,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible with 07-18 BMW X5 E70 F15 / 14-19 X6 F86",2007-2019-bmw-x5-x6-class-3-trailer-hitch-black-13077,ITEM-021349,2007-2019 BMW X5 X6 Class 3 Trailer Hitch - Black | 13077,0.659,high,2007-2019-bmw-x5-x6-class-3-trailer-hitch-ball-mount-kit-curt,2007-2019 BMW X5 X6 Class 3 Trailer Hitch & Ball Mount Kit - CURT,0.652
B07HBCWZL2,fggg-grzv-f25099-vt-bk-601,Glossy Black Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 99-04 Ford F250 F350 F450 F550 Superduty / 00-04 Excursion,1999-2004-ford-super-duty-excursion-front-grille-black,ITEM-000916,1999-2004 Ford Super Duty Excursion Front Grille - Black,0.614,high,1999-2000-honda-civic-front-grille-matte-black-abs,1999-2000 Honda Civic Front Grille - Matte Black ABS,0.587
B01MU350Q0,fg-ram94-h-bk-601,Glossy Black Horizontal Front Hood Bumper Grill Grille Guard ABS Compatible With 94-01 Dodge Ram 1500/94-02 2500 3500,1994-2002-dodge-ram-1500-2500-3500-horizontal-front-grille-matte-black,ITEM-027418,1994-2002 Dodge Ram 1500 2500 3500 Horizontal Front Grille Matte Black,0.737,high,1994-2002-dodge-ram-1500-2500-3500-front-grille-black,1994-2002 Dodge Ram 1500 2500 3500 Front Grille - Black,0.722
B07L8T474C,amazon-000345-601,Chrome Mesh Front Upper Hood Grill + Lower Bumper Grille Guard ABS Compatible With 06-13 Chevy Impala / 14-16 Limited,2006-2016-chevy-impala-front-lower-bumper-grille-matte-black,ITEM-009387,2006-2016 Chevrolet Impala Front Lower Bumper Grille - Black,0.632,high,2007-2014-gmc-yukon-xl-front-lower-bumper-grille-chrome,2007-2014 GMC Yukon XL Front Lower Bumper Grille - Chrome,0.625
B01FTGDDUI,fg-golf08lo-me-bk-601,Glossy Black Honeycomb Mesh Front Lower Bumper Grill Grille Guard ABS Compatible With 10-13 VW Golf / 10-14 Jetta Sport Wagen MK6,2010-2014-vw-golf-mk6-jetta-front-lower-bumper-grille-black,ITEM-009395,2010-2014 Volkswagen Golf MK6 Front Lower Bumper Grille - Black,0.667,high,2007-2014-gmc-yukon-honeycomb-mesh-lower-front-grille-matte-black,2007-2014 GMC Yukon Honeycomb Mesh Lower Front Grille - Matte Black,0.630
B01G6AHKA0,fg-nav98-vt-ch-601,Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 98-02 Lincoln Navigator / 2002 Blackwood,1998-2003-lincoln-navigator-blackwood-chrome-vertical-front-grille,ITEM-013638,1998-2003 Lincoln Navigator Blackwood Chrome Vertical Front Grille,0.733,high,1997-2004-dodge-dakota-durango-front-grille-chrome,1997-2004 Dodge Dakota Durango Front Grille - Chrome,0.583
B07PH2HQYQ,733469494522,Stehlen 733469494522 Compatible With 2015-2022 Ford F150 / 2017-2022 F250 F350 F450 F550 Superduty SuperCrew (Crew) Cab Gearbox Underseat Storage Cargo Organizer Box - Textured Black,2015-2023-ford-f-150-f-250-f-350-underseat-storage-organizer-box,ITEM-026735,2015-2023 Ford F-150 F-250 F-350 Underseat Storage Organizer Box,0.350,medium,2017-2022-ford-super-duty-crew-cab-5-steel-side-step-bars-black,"2017-2022 Ford Super Duty Crew Cab 5"" Side Step Bars - Black",0.346
B07LC19X7P,fggg-gr-jet99-h-bk-601,Glossy Black Horizontal Front Hood Bumper Grill Grille Guard ABS Compatible With 99-05 VW Jetta/Bora MK4,1999-2005-volkswagen-jetta-mk4-front-bumper-grille-matte-black,ITEM-022530,1999-2005 Volkswagen Jetta MK4 Horizontal Front Grille - Matte Black,0.667,high,1999-2005-volkswagen-jetta-mk4-horizontal-front-grille-black,1999-2005 Volkswagen Jetta MK4 Horizontal Front Grille - FG,0.639
B01N7FTO2D,th-pilot03-c328-601,"Class 3 III Black 2"" Receiver Tube Rear Bumper Trailer Tow Hitch Towing Mount Compatible with 03-08 Honda Pilot / 01-06 Acura MDX",2001-2008-honda-pilot-acura-mdx-class-3-trailer-hitch-13328,ITEM-022083,2001-2008 Honda Pilot & Acura MDX Class 3 Trailer Hitch - 13328,0.675,high,2001-2008-honda-pilot-acura-mdx-class-3-trailer-hitch-combo-curt,2001-2008 Honda Pilot & Acura MDX Class 3 Trailer Hitch Combo - CURT,0.667
B08FLYTWBM,hlplnb-f15015fled-ab-601,Sequential Black Housing Full LED Tri Projector Headlights Signal Lamps Amber Reflector nb Compatible With 15-17 Ford F150,2015-2017-ford-f-150-full-led-projector-headlights-black-amber,ITEM-027117,2015-2017 Ford F-150 Full LED Projector Headlights Black Amber,0.694,high,2014-2021-toyota-tundra-full-led-projector-headlights-black-amber,2014-2021 Toyota Tundra Full LED Projector Headlights Black Amber,0.658
B07L81FKDJ,733469493105,Stehlen 733469493105 Compatible with 2004-2023 Ford F150 / 2003-2017 Expedition / 2003-2014 Lincoln Navigator / 2006-2008 Mark LT Advance Series Aluminum LED Bull Bar - Matte Black,2003-2014-lincoln-navigator-mark-lt-bull-guard-matte-black-led-bar,ITEM-025252,2003-2014 Lincoln Navigator/Mark LT Bull Guard Matte Black + LED Bar,0.738,high,advance-series-bull-guard-w-led-light-bar-for-ford-bronco-2021,Advance Series Bull Guard w/ LED Light Bar for Ford Bronco 2021+,0.625
B078P878D8,bghd-sil991500-av-mb-601,Matte Black AVT Style Bull Bar Brush Push Front Bumper Grill Grille Guard with Skid Plate Compatible with 99-07 Chevy Silverado GMC Sierra / 00-06 Suburban Tahoe Yukon 1500,99-07-silverado-sierra-1500-bull-guard-mesh-skid-plate-matte-black,ITEM-024537,99-07 Silverado Sierra 1500 Bull Guard Mesh Skid Plate Matte Black,0.692,high,1999-2006-chevy-silverado-tahoe-suburban-front-grille-black,1999-2006 Chevrolet Silverado Tahoe Suburban Front Grille - Black,0.611
B01FTGD6JQ,tc-s1094-6-lru-601,"Lock & Roll Up Soft Vinyl Truck Bed Tonneau Cover Compatible with 94-03 Chevy S10 GMC S15 Sonoma / 96-00 Isuzu Hombre 6 Ft (72"") Bed",94-03-chevy-s10-gmc-sonoma-6-tonneau-cover-led-bed-light-kit,ITEM-022457,1994-2003 Chevy S10/GMC Sonoma 6 ft Bed Soft Roll-Up Tonneau Cover,0.705,high,94-03-chevy-s10-gmc-sonoma-isuzu-hombre-6-tonneau-cover,1994-2003 Chevy S10/GMC Sonoma 6 ft Bed Tonneau Cover - Roll-Up,0.682
B07L7ZLCBV,733469493044,Stehlen 733469493044 Compatible with 2009-2018 Dodge Ram 1500/2019-2024 Classic Advance Series Aluminum LED Bull Bar - Matte Black,09-22-ram-1500-advanced-series-bull-guard-w-led-light-bar-matte-black,ITEM-026541,2009-2022 Dodge Ram 1500 Bull Guard w/LED Light Bar Matte Black,0.722,high,09-22-ram-1500-advanced-series-bull-guard-w-skid-plate-matte-black,2009-2022 Dodge Ram 1500 Bull Guard w/ Skid Plate Matte Black - Advanced Series,0.675
B07D6XZ6KF,714937188860,"Stehlen 714937188860 Compatible with 2009-2018 Dodge Ram 1500/2019-2024 Classic 5.7 Feet (68.4"") Short Bed Lock and Roll Up Tonneau Cover - Black",2019-2024-ram-1500-tonneau-cover-led-light-combo-5-7ft-bed,ITEM-026892,2019-2024 Dodge Ram 1500 5.7 ft Bed Tonneau Cover & LED Kit - Roll Up,0.750,high,2019-2024-ram-1500-5-7ft-bed-lock-roll-up-tonneau-cover,2019-2024 Dodge Ram 1500 5.7 ft Bed Roll-Up Tonneau Cover,0.700
B0832K18QL,s223043-601,"4"" Oval Bent End Black Side Step Nerf Bars Rail Running Boards Compatible with 15-22 Ford F150 SuperCrew / 17-22 F250 F350 F450 F550 Superduty Crew Cab",2017-2022-ford-super-duty-crew-cab-5-steel-side-step-bars-black,ITEM-024789,"2017-2022 Ford Super Duty Crew Cab 5"" Side Step Bars - Black",0.635,high,2017-2022-ford-super-duty-crew-cab-4-side-step-bars-matte-black,"2017-2022 Ford Super Duty Crew Cab 4"" Side Step Bars - Matte Black",0.630
B077KKVLPB,fggg-grzv-f15004-vt-ch-601,Chrome Vertical Front Hood Bumper Grill Grille Guard ABS Compatible With 04-08 Ford F150,2004-2008-ford-f-150-front-grille-chrome-vertical-style,ITEM-000911,2004-2008 Ford F-150 Front Grille Chrome Vertical Style,0.667,high,2003-2006-ford-expedition-vertical-style-chrome-front-grille-abs,2003-2006 Ford Expedition Vertical Style Chrome Front Grille - ABS,0.637
