sku,image_filename,product_handle,product_title,image_url,status
ITEM-030272,hlnb-civ01lsq-jdma-2.jpg,01-03-honda-civic-crystal-headlights-sequential-led-bar-black,01-03 Honda Civic Crystal Headlights Sequential LED Bar - Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/hlnb-civ01lsq-jdma-2.jpg?v=1776215809,ACTIVE
ITEM-026704,bghd-al-mb-2_92b53e06-b9c6-4268-bfa6-4b80ef0e5439.jpg,01-04-nissan-frontier-xterra-advanced-bull-guard-led-light-bar,01-04 Nissan Frontier Xterra Advanced Bull Guard LED Light Bar,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/bghd-al-mb-2_92b53e06-b9c6-4268-bfa6-4b80ef0e5439.jpg?v=1776217372,ACTIVE
ITEM-030262,hlnb-taco016plbw-jdma-2.jpg,01-04-toyota-tacoma-crystal-headlights-6pc-led-light-bar-black,01-04 Toyota Tacoma Crystal Headlights 6PC LED Light Bar Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/hlnb-taco016plbw-jdma-2.jpg?v=1776215811,ACTIVE
ITEM-030260,hlnb-taco014plbw-jdma-2.jpg,01-04-toyota-tacoma-crystal-headlights-w-led-light-bar-4pc-black,01-04 Toyota Tacoma Crystal Headlights w/ LED Light Bar 4PC Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/hlnb-taco014plbw-jdma-2.jpg?v=1776215814,ACTIVE
ITEM-030261,hlnb-taco014plsq-jdma-2.jpg,01-04-toyota-tacoma-crystal-headlights-w-sequential-led-black,01-04 Toyota Tacoma Crystal Headlights w/ Sequential LED - Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/hlnb-taco014plsq-jdma-2.jpg?v=1776215816,ACTIVE
ITEM-030263,hlnb-taco016plsq-jdma-2.jpg,01-04-toyota-tacoma-crystal-headlights-w-sequential-led-black-6pc,01-04 Toyota Tacoma Crystal Headlights w/ Sequential LED - Black 6PC,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/hlnb-taco016plsq-jdma-2.jpg?v=1776215819,ACTIVE
ITEM-025364,th-bmount-l2-2_51056464-c428-41f9-892d-5c3f412c9349.jpg,01-10-silverado-sierra-2500-3500-class-4-hitch-ball-mount-combo,01-10 Silverado Sierra 2500/3500 Class 4 Hitch & Ball Mount Combo,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/th-bmount-l2-2_51056464-c428-41f9-892d-5c3f412c9349.jpg?v=1776217374,ACTIVE
ITEM-023507,th-sil0125-d211-2.jpg,01-10-silverado-sierra-2500-3500-class-4-trailer-hitch-black,01-10 Silverado Sierra 2500/3500 Class 4 Trailer Hitch Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/th-sil0125-d211-2.jpg?v=1776215821,ACTIVE
ITEM-030241,hlnb-rang014plbw-jdma-2.jpg,01-11-ford-ranger-crystal-headlights-4pc-led-light-bar-black-jdma,01-11 Ford Ranger Crystal Headlights 4PC LED Light Bar Black - JDMA,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/hlnb-rang014plbw-jdma-2.jpg?v=1776215823,ACTIVE
ITEM-030259,hlnb-rang014plsq-jdma-2.jpg,01-11-ford-ranger-crystal-headlights-4pc-sequential-led-black,01-11 Ford Ranger Crystal Headlights 4PC Sequential LED - Black,https://cdn.shopify.com/s/files/1/0724/2638/9551/files/hlnb-rang014plsq-jdma-2.jpg?v=1776215825,ACTIVE
