verdict,warehouse_decision,stehlen_branded,category,year_range_claimed,cabs_claimed,trim_risk_in_title,physical_part_to_inspect,vendor,handle,title,live_url,Notes,verification_note,raw_tags
1 - HARD HOLD,,YES,headlights - projector,2007-2014,,,OEM assembly,Stehlen Auto,07-14-chevy-silverado-full-led-projector-headlights-black-amber,2007-2014 Chevrolet Silverado Full LED Projector Headlights w/Amber - Black,https://stehlenauto.com/products/07-14-chevy-silverado-full-led-projector-headlights-black-amber,,Per audit: 2014 Silverado/Sierra 1500 is K2XX (NOT GMT900). Incompatible. Ship for 07-13 only; 14 must be excluded.,2007 | 2007 silverado | 2008 | 2008 silverado | 2009 | 2009 silverado | 2010 | 2010 silverado | 2011 | 2011 silverado | 2012 | 2012 silverado | 2013 | 2013 silverado | 2014 | 2014 silverado | amber headlights | black housing | chevrolet silverado | CVSV07A.06 | full led | headlights | HLPLNB-SIL07FLED-AB | led headlights | projector headlights | silverado 1500 | silverado 2500 hd | silverado 3500 hd | truck headlights
1 - HARD HOLD,,YES,headlights - projector,2009-2022,,,OEM assembly,Stehlen Auto,2009-2022-dodge-ram-full-led-projector-headlights-black-amber,2009-2022 Dodge Ram 1500/2500/3500 Full LED Projector Headlights - Black,https://stehlenauto.com/products/2009-2022-dodge-ram-full-led-projector-headlights-black-amber,,Per audit: 09-22 span lies. DS chassis (09-18) and DT Classic (19-22) share a body but DT new-body (19-22 parallel) does NOT. Split or restrict to DT-Classic-only.,1500 Classic | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | amber | black housing | DGPU09B.06 | Dodge Ram | full LED projector | headlight upgrade | headlights | HLPLNB-RAM09FLED-AB | LED headlights | projector headlights | Ram 1500 | Ram 2500 | Ram 3500 | truck headlights
1 - HARD HOLD,,YES,running boards,2009-2022,Extended Cab,,RBJZ-BR-RAM09-6P,Stehlen Auto,2009-2022-ram-1500-76-oe-style-running-boards-matte-black,2009-2022 Dodge Ram 1500 Quad/Extended Cab OE Running Boards Matte Black,https://stehlenauto.com/products/2009-2022-ram-1500-76-oe-style-running-boards-matte-black,,[bracket RBJZ-BR-RAM09-6P] Bracket spans 2009-2022 in title; warehouse must confirm bracket fits BOTH the DS chassis (09-18) AND DT Classic (19-22). DT new-body (19+) must be EXCLUDED.,2009 | 2009 Ram 1500 | 2010 | 2010 Ram 1500 | 2011 | 2011 Ram 1500 | 2012 | 2012 Ram 1500 | 2013 | 2013 Ram 1500 | 2014 | 2014 Ram 1500 | 2015 | 2015 Ram 1500 | 2016 | 2016 Ram 1500 | 2017 | 2017 Ram 1500 | 2018 | 2018 Ram 1500 | 2019 | 2019 Ram 1500 Classic | 2020 | 2020 Ram 1500 Classic | 2021 | 2021 Ram 1500 Classic | 2022 | 2022 Ram 1500 Classic | 76 inch running boards | aluminum running boards | Dodge Ram 1500 | extended cab running boards | flat mount running boards | matte black running boards | nerf bars | OE style running boards | quad cab running boards | Ram 1500 Classic | RBJZ-BR-RAM09-6P+RBJZ-76-6-OE-MB | running boards | side steps | truck accessories | truck steps
1 - HARD HOLD,,,bull guard - advance series w/led light bar,2009-2022,,,Bumper mount,Advanced Series,09-22-ram-1500-advanced-series-bull-guard-w-led-light-bar,2009-2022 Dodge Ram 1500 Bull Guard LED Light Bar - Advanced,https://stehlenauto.com/products/09-22-ram-1500-advanced-series-bull-guard-w-led-light-bar,,Same Ram DS/DT lie as running boards: 09-22 span crosses 09-18 DS and 19+ DT chassis with different bumper mount points. Confirm the bull guard actually fits BOTH or split.,2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | advanced series | BGHD-RAM091500-AL-TB | bull guard | Dodge Ram 1500 | excludes ram rebel | front bumper guard | front protection | grille guard | LED light bar | off-road | old body style | push bar | Ram 1500 Classic | texture black | truck accessories
1 - HARD HOLD,,,bull guard - advance series w/led light bar,2009-2022,,,Bumper mount,Advanced Series,09-22-ram-1500-advanced-series-bull-guard-w-led-light-bar-matte-black,2009-2022 Dodge Ram 1500 Bull Guard w/LED Light Bar Matte Black,https://stehlenauto.com/products/09-22-ram-1500-advanced-series-bull-guard-w-led-light-bar-matte-black,,Same Ram DS/DT lie as running boards: 09-22 span crosses 09-18 DS and 19+ DT chassis with different bumper mount points. Confirm the bull guard actually fits BOTH or split.,2009 | 2009 Ram 1500 | 2010 | 2010 Ram 1500 | 2011 | 2011 Ram 1500 | 2012 | 2012 Ram 1500 | 2013 | 2013 Ram 1500 | 2014 | 2014 Ram 1500 | 2015 | 2015 Ram 1500 | 2016 | 2016 Ram 1500 | 2017 | 2017 Ram 1500 | 2018 | 2018 Ram 1500 | 2019 | 2019 Ram 1500 Classic | 2020 | 2020 Ram 1500 Classic | 2021 | 2021 Ram 1500 Classic | 2022 | 2022 Ram 1500 Classic | advanced series | BGHD-RAM091500-AL-MB | bull bar | bull guard | Dodge Ram | front bumper guard | GBU10018-NUB7081 | grille guard | LED light bar | matte black | off-road lighting | push bar | Ram 1500 | Ram 1500 Classic | truck accessories
1 - HARD HOLD,,,bull guard - advance series w/skid plate,2009-2022,,,Bumper mount,Advanced Series,09-22-dodge-ram-1500-advanced-bull-guard-w-skid-plate-matte-black,2009-2022 Dodge Ram 1500 Bull Guard Brushed Chrome Skid Plate Matte Black,https://stehlenauto.com/products/09-22-dodge-ram-1500-advanced-bull-guard-w-skid-plate-matte-black,,Same Ram DS/DT lie as running boards: 09-22 span crosses 09-18 DS and 19+ DT chassis with different bumper mount points. Confirm the bull guard actually fits BOTH or split.,2009 | 2009-2022 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | advanced series | BGHD-RAM091500-AV-MBBA | brushed chrome | bull guard | dodge ram 1500 | excludes ram rebel | front bumper guard | front end protection | grille guard | matte black | push bar | ram 1500 classic | ram 1500 old body | skid plate | truck accessories
1 - HARD HOLD,,,bull guard - advance series w/skid plate,2009-2022,,,Bumper mount,Bull Guard,09-22-dodge-ram-1500-bull-guard-w-mesh-skid-plate-matte-black,2009-2022 Dodge Ram 1500 Bull Guard Mesh Skid Plate Matte Black,https://stehlenauto.com/products/09-22-dodge-ram-1500-bull-guard-w-mesh-skid-plate-matte-black,,Same Ram DS/DT lie as running boards: 09-22 span crosses 09-18 DS and 19+ DT chassis with different bumper mount points. Confirm the bull guard actually fits BOTH or split.,2009 | 2009 ram 1500 | 2010 | 2010 ram 1500 | 2011 | 2011 ram 1500 | 2012 | 2012 ram 1500 | 2013 | 2013 ram 1500 | 2014 | 2014 ram 1500 | 2015 | 2015 ram 1500 | 2016 | 2016 ram 1500 | 2017 | 2017 ram 1500 | 2018 | 2018 ram 1500 | 2019 | 2019 ram 1500 classic | 2020 | 2020 ram 1500 classic | 2021 | 2021 ram 1500 classic | 2022 | 2022 ram 1500 classic | BGHD-RAM091500-AM-MB | bull bar | bull guard | dodge ram | dodge ram 1500 | excludes rebel | front end protection | GBU10018-UB3303 | grille guard | matte black | mesh skid plate | push bar | ram 1500 | ram 1500 classic | skid plate | truck accessories
1 - HARD HOLD,,,bull guard - advance series w/skid plate,2009-2022,,,Bumper mount,Advanced Series,09-22-ram-1500-advanced-series-bull-guard-w-skid-plate-matte-black,2009-2022 Dodge Ram 1500 Bull Guard w/ Skid Plate Matte Black - Advanced Series,https://stehlenauto.com/products/09-22-ram-1500-advanced-series-bull-guard-w-skid-plate-matte-black,,Same Ram DS/DT lie as running boards: 09-22 span crosses 09-18 DS and 19+ DT chassis with different bumper mount points. Confirm the bull guard actually fits BOTH or split.,2009 | 2009 ram 1500 | 2010 | 2010 ram 1500 | 2011 | 2011 ram 1500 | 2012 | 2012 ram 1500 | 2013 | 2013 ram 1500 | 2014 | 2014 ram 1500 | 2015 | 2015 ram 1500 | 2016 | 2016 ram 1500 | 2017 | 2017 ram 1500 | 2018 | 2018 ram 1500 | 2019 | 2019 ram 1500 classic | 2020 | 2020 ram 1500 classic | 2021 | 2021 ram 1500 classic | 2022 | 2022 ram 1500 classic | advanced series | BGHD-RAM091500-AV-MB | bull guard | dodge ram 1500 | excludes ram rebel | front bumper guard | GBU10018-EUB-V0035-BK | grille guard | matte black | old body style | push bar | ram 1500 classic | skid plate
1 - HARD HOLD,,,headlights - led crystal style,2007-2017,,,OEM assembly,HLNB,07-13-toyota-tundra-08-15-sequoia-chrome-led-crystal-headlights,2007-2017 Toyota Tundra & Sequoia LED Crystal Headlights - Chrome,https://stehlenauto.com/products/07-13-toyota-tundra-08-15-sequoia-chrome-led-crystal-headlights,,"Per audit: 2014 Tundra got a fascia refresh; many '07-17' listings claim coverage they do not have. If listing also references 08-15 Sequoia (Sequoia kept body), split: Tundra 07-13 vs Sequoia 08-15.",2007 | 2007 Tundra | 2008 | 2008 Sequoia | 2008 Tundra | 2009 | 2009 Sequoia | 2009 Tundra | 2010 | 2010 Sequoia | 2010 Tundra | 2011 | 2011 Sequoia | 2011 Tundra | 2012 | 2012 Sequoia | 2012 Tundra | 2013 | 2013 Sequoia | 2013 Tundra | 2014 | 2014 Sequoia | 2015 | 2015 Sequoia | 2016 | 2016 Sequoia | 2017 | 2017 Sequoia | aftermarket headlights | amber headlights | chrome headlights | chrome housing | crystal headlights | headlights | HLNB-TUN07LBW-CHA | LED headlights | LED light bar | Toyota Sequoia | Toyota Tundra | TYTD07C.00
1 - HARD HOLD,,,headlights - led crystal style,2007-2017,,,OEM assembly,Spec-D Tuning,07-13-toyota-tundra-08-15-sequoia-chrome-led-headlights-sequential,2007-2017 Toyota Tundra Sequoia Crystal LED Headlights - Chrome,https://stehlenauto.com/products/07-13-toyota-tundra-08-15-sequoia-chrome-led-headlights-sequential,,"Per audit: 2014 Tundra got a fascia refresh; many '07-17' listings claim coverage they do not have. If listing also references 08-15 Sequoia (Sequoia kept body), split: Tundra 07-13 vs Sequoia 08-15.",2007 | 2007 Tundra headlights | 2008 | 2008 Sequoia headlights | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | aftermarket headlights | chrome headlights | chrome housing | crystal headlights | headlights | HLNB-TUN07LSQ-CHA | LED headlights | LED turn signal | sequential turn signal | Toyota Sequoia | Toyota Tundra | TYTD07CS.00
