audit_verdict,stehlen_branded,bracket_pn,year_range_claimed,cabs_claimed,vendor,handle,title,live_url,verification_note,raw_tags
HARD HOLD - audit flagged,YES,RBJZ-BR-RAM09-6P,2009-2022,Extended Cab,Stehlen Auto,2009-2022-ram-1500-76-oe-style-running-boards-matte-black,2009-2022 Dodge Ram 1500 Quad/Extended Cab OE Running Boards Matte Black,https://stehlenauto.com/products/2009-2022-ram-1500-76-oe-style-running-boards-matte-black,Spans 2009-2022 in title; warehouse must confirm bracket fits BOTH the DS chassis (09-18) AND the DT Classic (19-22). DT new-body (19+) must be EXCLUDED.,2009 | 2009 Ram 1500 | 2010 | 2010 Ram 1500 | 2011 | 2011 Ram 1500 | 2012 | 2012 Ram 1500 | 2013 | 2013 Ram 1500 | 2014 | 2014 Ram 1500 | 2015 | 2015 Ram 1500 | 2016 | 2016 Ram 1500 | 2017 | 2017 Ram 1500 | 2018 | 2018 Ram 1500 | 2019 | 2019 Ram 1500 Classic | 2020 | 2020 Ram 1500 Classic | 2021 | 2021 Ram 1500 Classic | 2022 | 2022 Ram 1500 Classic | 76 inch running boards | aluminum running boards | Dodge Ram 1500 | extended cab running boards | flat mount running boards | matte black running boards | nerf bars | OE style running boards | quad cab running boards | Ram 1500 Classic | RBJZ-BR-RAM09-6P+RBJZ-76-6-OE-MB | running boards | side steps | truck accessories | truck steps
HARD HOLD - audit flagged,,RBJZ-BR-F15015-6P,2015-2023,Crew Cab,RBJZ,2015-2023-ford-f-150-super-duty-86-aluminum-running-boards-matte-black,2015-2023 Ford F-150/Super Duty Crew Cab 86 inch Aluminum Running Boards - Matte Black,https://stehlenauto.com/products/2015-2023-ford-f-150-super-duty-86-aluminum-running-boards-matte-black,Title claims 2015-2023 F-150/Super Duty. Warehouse must confirm bracket fits BOTH P552 (15-20) AND P702 (21+) — different frame mounts. 2023 Super Duty also redesigned.,2015 | 2015-2023 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | aluminum | crew cab | flat mount | Ford F-150 | Ford F-250 | Ford F-350 | Ford F-450 | Ford F-550 | matte black | RBJZ | RBJZ-BR-F15015-6P+RBJZ-86-5-TI-MB | running boards | side steps | Super Duty | supercrew | TI style | truck accessories
HARD HOLD - audit flagged,,RBJZ-BR-F15015-6P,2015-2023,Crew Cab,RBJZ,2015-2023-ford-f-150-super-duty-86-oe-style-running-boards-matte-black,2015-2023 Ford F-150/Super Duty Crew Cab 86 inch OE Style Running Boards - Matte Black,https://stehlenauto.com/products/2015-2023-ford-f-150-super-duty-86-oe-style-running-boards-matte-black,Title claims 2015-2023 F-150/Super Duty. Warehouse must confirm bracket fits BOTH P552 (15-20) AND P702 (21+) — different frame mounts. 2023 Super Duty also redesigned.,2015 | 2015-2023 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | aluminum | crew cab | exterior accessories | flat mount | Ford F-150 | Ford F-250 | Ford F-350 | Ford F-450 | Ford F-550 | matte black | OE style | RBJZ-BR-F15015-6P+RBJZ-86-6-OE-MB | running boards | side steps | Super Duty | supercrew | truck accessories
HARD HOLD - audit flagged,,RBJZ-BR-F15015-6P,2015-2023,Crew Cab,RBJZ,2015-2023-ford-f-150-super-duty-86-oe-style-running-boards-silver,2015-2023 Ford F-150/Super Duty Crew Cab OE Running Boards - Silver,https://stehlenauto.com/products/2015-2023-ford-f-150-super-duty-86-oe-style-running-boards-silver,Title claims 2015-2023 F-150/Super Duty. Warehouse must confirm bracket fits BOTH P552 (15-20) AND P702 (21+) — different frame mounts. 2023 Super Duty also redesigned.,2015 | 2015-2023 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | aluminum | crew cab | exterior accessories | flat mount | Ford F-150 | Ford F-250 | Ford F-350 | Ford F-450 | Ford F-550 | OE style | RBJZ-BR-F15015-6P+RBJZ-86-6-OE-SL | running boards | side steps | silver | Super Duty | supercrew | truck accessories
HARD HOLD - audit flagged,,RBJZ-BR-RAM09-6P,2009-2022,Crew Cab,RBJZ,09-22-dodge-ram-1500-5500-crew-cab-86-aluminum-running-boards,2009-2022 Dodge Ram 1500-5500 Crew Cab Running Boards - TI Style Matte Black,https://stehlenauto.com/products/09-22-dodge-ram-1500-5500-crew-cab-86-aluminum-running-boards,Spans 2009-2022 in title; warehouse must confirm bracket fits BOTH the DS chassis (09-18) AND the DT Classic (19-22). DT new-body (19+) must be EXCLUDED.,2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 86 inch | aluminum running boards | cab entry | combo kit | crew cab | dodge ram | dodge ram running boards | flat mount | matte black | nerf bars | ram 1500 | ram 2500 | ram 3500 | ram 4500 | ram 5500 | RBJZ brackets | RBJZ-BR-RAM09-6P+RBJZ-86-5-TI-MB | running boards | side steps | TI style | truck steps
HARD HOLD - audit flagged,,RBJZ-BR-RAM09-6P,2009-2022,Crew Cab,RBJZ,09-22-dodge-ram-1500-5500-crew-cab-oe-style-running-boards,2009-2022 Dodge Ram 1500-5500 Crew Cab OE Running Boards - Matte Black,https://stehlenauto.com/products/09-22-dodge-ram-1500-5500-crew-cab-oe-style-running-boards,Spans 2009-2022 in title; warehouse must confirm bracket fits BOTH the DS chassis (09-18) AND the DT Classic (19-22). DT new-body (19+) must be EXCLUDED.,1500 Classic | 2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 86 inch | aluminum | combo kit | crew cab | Dodge Ram | flat mount | matte black | mount brackets | nerf bars | OE style | Ram 1500 | Ram 2500 | Ram 3500 | Ram 4500 | Ram 5500 | RBJZ | RBJZ-BR-RAM09-6P+RBJZ-86-6-OE-MB | running boards | side steps
HARD HOLD - audit flagged,,RBJZ-BR-RAM09-6P,2009-2022,Crew Cab,RBJZ,09-22-dodge-ram-1500-5500-crew-cab-oe-style-running-boards-silver,2009-2022 Dodge Ram 1500-5500 Crew Cab OE Running Boards Silver,https://stehlenauto.com/products/09-22-dodge-ram-1500-5500-crew-cab-oe-style-running-boards-silver,Spans 2009-2022 in title; warehouse must confirm bracket fits BOTH the DS chassis (09-18) AND the DT Classic (19-22). DT new-body (19+) must be EXCLUDED.,2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 4-door | 86 inch running board | aluminum running boards | bracket kit | combo kit | crew cab | Dodge Ram 1500 | Dodge Ram 1500 Classic | Dodge Ram 2500 | Dodge Ram 3500 | Dodge Ram 4500 | Dodge Ram 5500 | Dodge Ram running boards | flat mount | nerf bars | OE style running boards | RBJZ-BR-RAM09-6P+RBJZ-86-6-OE-SL | running boards | side steps | silver running boards
HARD HOLD - audit flagged,,RBJZ-BR-RAM09-6P,2009-2022,Extended Cab,RBJZ,2009-2022-ram-1500-5-aluminum-running-boards-matte-black-rbjz,2009-2022 Dodge Ram 1500 Quad/Extended Cab Running Boards Matte Black,https://stehlenauto.com/products/2009-2022-ram-1500-5-aluminum-running-boards-matte-black-rbjz,Spans 2009-2022 in title; warehouse must confirm bracket fits BOTH the DS chassis (09-18) AND the DT Classic (19-22). DT new-body (19+) must be EXCLUDED.,2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | aluminum running boards | Dodge Ram | Dodge Ram 1500 | extended cab | flat mount running boards | matte black | nerf bars | quad cab | Ram 1500 Classic | RBJZ-BR-RAM09-6P+RBJZ-76-5-TI-MB | running boards | side steps | TI style | truck steps
HARD HOLD - audit flagged,,RBJZ-BR-RAM09-6P,2009-2022,Extended Cab,RBJZ,2009-2022-ram-1500-6-oe-style-aluminum-running-boards-polish,2009-2022 Dodge Ram 1500 Quad/Extended Cab Running Boards - Polished Aluminum OE Style,https://stehlenauto.com/products/2009-2022-ram-1500-6-oe-style-aluminum-running-boards-polish,Spans 2009-2022 in title; warehouse must confirm bracket fits BOTH the DS chassis (09-18) AND the DT Classic (19-22). DT new-body (19+) must be EXCLUDED.,2009 | 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 6 inch running boards | 76 inch running boards | combo kit | Dodge Ram running boards | Extended Cab running boards | flat mount running boards | nerf bars | OE style running boards | polished aluminum running boards | Quad Cab running boards | Ram 1500 Classic running boards | Ram 1500 running boards | RBJZ brackets | RBJZ-BR-RAM09-6P+RBJZ-76-6-OE-SL | running boards | side steps
HARD HOLD - audit flagged,,RBJZ-BR-TACO05-6P,2005-2022,,RBJZ,2005-2022-toyota-tacoma-5-aluminum-running-boards-matte-black,"2005-2022 Toyota Tacoma Access Cab 5"" Running Boards - RBJZ",https://stehlenauto.com/products/2005-2022-toyota-tacoma-5-aluminum-running-boards-matte-black,Title claims 2005-2022 Tacoma. Warehouse must confirm bracket fits BOTH 2nd gen (05-15) AND 3rd gen (16-23) — different frame holes.,2005 | 2005-2022 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 5 inch | Access Cab | aluminum | bolt-on | Extended Cab | flat mount | matte black | nerf bars | RBJZ | RBJZ-BR-TACO05-6P+RBJZ-76-5-TI-MB | running boards | side steps | step bars | TI style | Toyota Tacoma | truck accessories
